#options: 300x532 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=16 lookahead_threads=4 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=crf mbtree=1 crf=20.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:128 out:126 type:P dur:2 cpbdur:2 q:26.03 aq:26.72 tex:54680 mv:6801 misc:271 imb:184 pmb:439 smb:23 d:- ref:0 ;
in:126 out:127 type:B dur:2 cpbdur:2 q:26.03 aq:27.15 tex:26195 mv:8149 misc:496 imb:33 pmb:502 smb:111 d:- ref:0 ;
in:127 out:128 type:b dur:2 cpbdur:2 q:26.03 aq:27.76 tex:1327 mv:121 misc:480 imb:0 pmb:80 smb:566 d:- ref:0 ;
in:129 out:129 type:I dur:2 cpbdur:2 q:23.12 aq:19.87 tex:118848 mv:24192 misc:112 imb:646 pmb:0 smb:0 d:- ref:;
in:133 out:130 type:P dur:2 cpbdur:2 q:26.03 aq:23.16 tex:65742 mv:6665 misc:185 imb:176 pmb:463 smb:7 d:- ref:0 ;
in:131 out:131 type:B dur:2 cpbdur:2 q:26.03 aq:23.48 tex:28344 mv:6705 misc:391 imb:22 pmb:563 smb:61 d:- ref:0 ;
in:130 out:132 type:b dur:2 cpbdur:2 q:26.03 aq:26.67 tex:10708 mv:4734 misc:694 imb:14 pmb:394 smb:238 d:- ref:0 ;
in:132 out:133 type:b dur:2 cpbdur:2 q:26.03 aq:20.35 tex:290 mv:126 misc:288 imb:0 pmb:39 smb:607 d:- ref:0 ;
in:137 out:134 type:P dur:2 cpbdur:2 q:26.03 aq:22.74 tex:67262 mv:6808 misc:194 imb:209 pmb:430 smb:7 d:- ref:0 ;
in:135 out:135 type:B dur:2 cpbdur:2 q:26.03 aq:24.75 tex:22512 mv:6298 misc:526 imb:32 pmb:499 smb:115 d:- ref:0 ;
